2222,3332,4445,5550,6668,7784,8891,10006,11107,12222,13337,14441,15554,16669,17778,18878,19990,21112
2501,3746,5001,6253,7506,8757,10004,11261,12493,13752,14991,16246,17493,18743,19999,21244,22508,23749
2857,4288,5723,7150,8568,9998,11428,12871,14290,15709,17129,18581,19988,21421,22866,24279,25717,27150
3338,4992,6670,8346,10014,11667,13342,15025,16692,18337,20005,21675,23376,25017,26680,28362,30008,31666
3995,6005,8012,9997,12021,14000,16000,18023,20021,21996,24037,26032,27998,30053,32029,34039,36060,38051
5001,7516,10004,12511,15033,17561,20037,22506,25007,27517,30063,32556,35040,37584,40049,42525,45090,47550
6673,10029,13347,16709,20059,23377,26734,30065,33374,36751,40043,43407,46740,50069,53494,56829,60128,63428
10065,15101,20055,25048,30107,35149,40097,45090,50232,55274,60161,65230,70196,75208,80292,85321,90263,95268
20146,30274,40288,50393,60483,70538,80671,90694,100716,110885,121164,131074,141142,151148,161187,171456,181222,191589
